"age_cal_yr_bp","year_ce","fit_zscore","ci_upper_zscore","ci_lower_zscore","n_records"
70,1880,-0.0273402737068738,0.136472373636887,-0.192902142130883,89
71,1879,-0.0598261091131306,0.112089410253015,-0.212977402892376,89
72,1878,-0.090203792789416,0.0893701709871222,-0.240669172185934,89
73,1877,-0.116740746462571,0.0669916665902227,-0.26238340902691,89
74,1876,-0.139509769800114,0.0466102269033697,-0.284951508652825,90
75,1875,-0.158596578855743,0.0270921150219915,-0.304959334421661,89
76,1874,-0.174086889683159,0.0132955399721213,-0.323851726932288,89
77,1873,-0.186066418336061,0.00290434722193579,-0.333817592349381,88
78,1872,-0.194620880868147,-0.00379774991250125,-0.340350751267588,87
79,1871,-0.199835993333118,-0.00717174925029069,-0.342739840999054,87
80,1870,-0.201880551368369,-0.0123064530267615,-0.344592068101995,87
81,1869,-0.202068027109246,-0.0129546017700169,-0.343779088597487,88
82,1868,-0.20092304776163,-0.0109619442924994,-0.341931323224786,87
83,1867,-0.198571282711693,-0.00594956876626173,-0.336360139897627,84
84,1866,-0.195138401345607,-0.00216278569626804,-0.334004347882362,84
85,1865,-0.190750073049543,-0.00132025676271668,-0.331821996227596,84
86,1864,-0.185531967209672,0.000730284246439675,-0.325563587517532,85
87,1863,-0.179609753212165,-0.000614344644598265,-0.322527868516342,82
88,1862,-0.173109100443194,0.0024600167318847,-0.316925570836774,82
89,1861,-0.166348538845081,0.00841709953641085,-0.315094406074557,82
90,1860,-0.160029310570215,0.0103052199202492,-0.314650388947981,79
91,1859,-0.154409461916535,0.0166916261431857,-0.312820033165905,79
92,1858,-0.149718882546402,0.0229790344961926,-0.312910001705426,78
93,1857,-0.146187462122173,0.0276945419821902,-0.312457319341042,75
94,1856,-0.14404509030621,0.0280970554030762,-0.311267953786343,75
95,1855,-0.143521656760871,0.0275312238047856,-0.309804815057651,75
96,1854,-0.144847051148515,0.0275409410988484,-0.305484242402973,77
97,1853,-0.148241198134083,0.0294063190674385,-0.312396390816462,76
98,1852,-0.153095966772124,0.0216230880774795,-0.316385845228093,75
99,1851,-0.158901708505447,0.0219024384875519,-0.317916579004085,74
100,1850,-0.165600309161051,0.0242061704747796,-0.321389681957519,75
101,1849,-0.173133654565935,0.0216808421799755,-0.325763961969795,74
102,1848,-0.181443630547097,0.0208378989837671,-0.33489032152509,75
103,1847,-0.190472122931535,0.0150532746157214,-0.340762397892537,75
104,1846,-0.200161017546249,0.014689619297648,-0.348165364198117,75
105,1845,-0.210452200218237,0.00992603286561117,-0.3560129622149,74
106,1844,-0.22077538150967,0.00752648381862352,-0.365489337954639,75
107,1843,-0.228314674104699,0.000480469845596433,-0.375556139784139,76
108,1842,-0.232516653357729,0.000452650898698148,-0.386777711584554,76
109,1841,-0.2332229765116,0.00941519103243645,-0.393735484933019,76
110,1840,-0.230275300809151,0.0257812231868256,-0.396996039590942,76
111,1839,-0.223515283493222,0.0326701905524969,-0.401219137788086,77
112,1838,-0.212784581806651,0.0499344290959856,-0.398874645855161,76
113,1837,-0.197924852992279,0.066711263970144,-0.389130003309523,78
114,1836,-0.178777754292945,0.0899967623966804,-0.375128404889935,79
115,1835,-0.158539063010899,0.111785473911508,-0.362785565643507,79
116,1834,-0.141177899020947,0.126597738699481,-0.350739902060037,81
117,1833,-0.126333600077477,0.132525597331558,-0.342032999149714,82
118,1832,-0.113630455218858,0.138579155474926,-0.328400595792995,83
119,1831,-0.102692753483455,0.152033485073219,-0.313534287846758,83
120,1830,-0.093144783909635,0.158862464247048,-0.297537997641501,82
121,1829,-0.0846108355357659,0.169245078746167,-0.28184991677465,84
122,1828,-0.0767151974002141,0.167621286699221,-0.271006993929846,83
123,1827,-0.0692562141930755,0.169143150688702,-0.263344173031358,83
124,1826,-0.0640992162624001,0.181089406450407,-0.255972255037821,83
125,1825,-0.0618219859926795,0.185713335377674,-0.249517580685575,82
126,1824,-0.0623926148762125,0.185369242284313,-0.248632714650234,81
127,1823,-0.0657791944052978,0.186830243016091,-0.248026451811199,79
128,1822,-0.0719498160722341,0.18083466175559,-0.248675847782231,77
129,1821,-0.0808725713693201,0.182409594683492,-0.259824981448834,77
130,1820,-0.0925155517888545,0.172045883669806,-0.266173518233372,78
131,1819,-0.106846848823136,0.163260074010334,-0.280962873678564,77
132,1818,-0.122022641724663,0.158314647066686,-0.300894378085847,78
133,1817,-0.133835270973668,0.159090325185797,-0.324711009599335,77
134,1816,-0.142542727758858,0.154026830241802,-0.340116726851932,78
135,1815,-0.148609497622494,0.15220743814248,-0.35314907591386,79
136,1814,-0.152500066106837,0.156726034365353,-0.369300484093896,79
