"age_cal_yr_bp","year_ce","fit_zscore","ci_upper_zscore","ci_lower_zscore","n_records"
27,1923,0.266983786315339,0.410906008332905,0.106082869271975,73
28,1922,0.282380308655678,0.427801498950761,0.116715847225446,74
29,1921,0.297029220524701,0.446836865978409,0.126689179945021,74
30,1920,0.311132422613382,0.465502986462419,0.128530303924913,74
31,1919,0.324891815612697,0.491992474405779,0.135900804641081,73
32,1918,0.33850930021362,0.514622783005204,0.136948247840364,73
33,1917,0.352186777107125,0.526248366263916,0.140003068043159,74
34,1916,0.364581016287212,0.555092742745375,0.140175242792683,75
35,1915,0.373415433291879,0.573919827929265,0.137364757364606,76
36,1914,0.378828241661877,0.596275328008907,0.134713979557782,76
37,1913,0.38098910426482,0.613605361454085,0.143736427861372,76
38,1912,0.380067683968326,0.619628314291734,0.135448566987132,76
39,1911,0.376233643640009,0.623178354013039,0.126607355819935,76
40,1910,0.369656646147485,0.62297789829001,0.124595485219434,75
41,1909,0.36050635435837,0.613599024362959,0.115897519962231,74
42,1908,0.349413074139413,0.59940707998952,0.110010607056128,73
43,1907,0.338806446495289,0.580288884275544,0.101076816107756,71
44,1906,0.328758464056492,0.55889948636266,0.0930327923819424,72
45,1905,0.318965141859122,0.541872864882145,0.088727349346041,72
46,1904,0.309122494939279,0.522196399473134,0.0798215215549815,73
47,1903,0.298926538333061,0.503622579753,0.0757455644562551,72
48,1902,0.288073287076571,0.485656542287097,0.070647601568419,72
49,1901,0.276258756205906,0.466684887658092,0.0618979536851178,72
50,1900,0.263274926326456,0.447199086006436,0.0539645501031413,72
51,1899,0.25234705246362,0.42963924213153,0.0480327135810311,72
52,1898,0.244851431374096,0.431947794318921,0.044308232601136,73
53,1897,0.240347289356862,0.430001444939122,0.0366053394335961,72
54,1896,0.238393852710896,0.434199140307544,0.0301154235593219,73
55,1895,0.238550347735175,0.442133578868811,0.0273281059792246,75
56,1894,0.240376000728678,0.45276139847306,0.0253355765223796,76
57,1893,0.243430037990382,0.463096821431235,0.024900577963203,75
58,1892,0.247271685819265,0.474926243346634,0.0258636784631984,76
59,1891,0.25155697533293,0.492131487705385,0.0239749825392283,74
60,1890,0.256242609189355,0.50065438916042,0.0309070899860658,74
61,1889,0.261287777711949,0.506947020996127,0.0293289498775431,74
62,1888,0.266649971986523,0.51104031856971,0.0281134882898825,73
63,1887,0.272286683098892,0.51464957229625,0.034814088081741,74
64,1886,0.278155402134869,0.517814904003321,0.0376627328146805,74
65,1885,0.284213620180266,0.514103910508071,0.0495109423491689,74
66,1884,0.290418828320897,0.527000863702911,0.0529084142282452,73
67,1883,0.296594397726785,0.52571573610244,0.0616143280523627,72
68,1882,0.301957524373318,0.528733742828962,0.0815529978252227,71
69,1881,0.306496219523778,0.528689484326911,0.084241557017899,72
70,1880,0.310339772622163,0.538594629292764,0.0860322073446523,72
71,1879,0.31361747311247,0.547383124391029,0.086517719756773,71
72,1878,0.316458610438697,0.548763545649818,0.0852354169308747,71
73,1877,0.318992474044842,0.550333464125756,0.0861945636136072,71
74,1876,0.321348353374902,0.547310082031748,0.0928312348604728,71
