"age_cal_yr_bp","year_ce","fit_zscore","ci_upper_zscore","ci_lower_zscore","n_records"
113,1837,-0.037097356124201,0.100740714124693,-0.193035770229044,77
114,1836,-0.0299494156920901,0.10832399728637,-0.182816398710137,78
115,1835,-0.0238302162532401,0.108023108332804,-0.172265259784521,78
116,1834,-0.0186873725784238,0.11047205594642,-0.166798500263674,77
117,1833,-0.0144684994384136,0.117309244051716,-0.159884572010082,76
118,1832,-0.0106169321481604,0.12359678651121,-0.154798238279131,75
119,1831,-0.00618641596849973,0.127796499609859,-0.150920800477839,75
120,1830,-0.00128428016165459,0.139437033232025,-0.147316361371344,75
121,1829,0.00395419126678022,0.149990096531152,-0.1410740491216,75
122,1828,0.00939371431120988,0.15808558230082,-0.13196972327465,76
123,1827,0.0148990049660396,0.16997836308671,-0.13089365680896,76
124,1826,0.0203347792256745,0.177623048840563,-0.131818766426975,76
125,1825,0.0255657530845197,0.189613157928744,-0.132293382233492,76
126,1824,0.0304073763470397,0.208733823997948,-0.133295807551308,76
127,1823,0.0344517242763522,0.218800234392211,-0.132841361633314,76
128,1822,0.0374976995774389,0.226291989215403,-0.134492053920532,77
129,1821,0.0393815172478339,0.227572506017638,-0.131458144610788,76
130,1820,0.0399393922850713,0.226755256333265,-0.129840228108566,77
131,1819,0.0390075396866853,0.225427902767554,-0.129488083936941,77
132,1818,0.0364221744502098,0.217818155923668,-0.130028146150484,78
133,1817,0.0320195115731791,0.211224228742687,-0.131518231805336,78
134,1816,0.0256791542387611,0.19960289453542,-0.135659963797834,77
135,1815,0.0182700870830492,0.191123825333346,-0.140820157405954,77
136,1814,0.0102912576243408,0.18164964277762,-0.144336783344922,77
137,1813,0.00187928234988984,0.166678723560948,-0.151864070120804,77
138,1812,-0.00682922225304999,0.149573548358073,-0.159171760983577,77
139,1811,-0.0156976396972249,0.133107272940562,-0.164642158125238,77
140,1810,-0.024589353495381,0.11841771723341,-0.169717994645928,75
141,1809,-0.0333677471602645,0.110543282725045,-0.17589034252026,75
142,1808,-0.0418962042046215,0.100687023326818,-0.186418351685007,75
143,1807,-0.0517813564411965,0.0980400477566508,-0.197832032738717,74
144,1806,-0.0644079734145154,0.0856471853651073,-0.212061648593703,74
145,1805,-0.0789469163731034,0.0763350156673197,-0.230958017207382,73
146,1804,-0.0945671195425619,0.0615664834772465,-0.249836848327715,74
