entity_id,entity_name,lat_dd_north,lon_dd_east,elev_m,hemisphere,depo_context,eco_id,chron_code,geo_id
780,Laguna Cuzcachapa core,13.98,-89.68,709,north,sedlac,149,RPD_orig,206
782,Laguna Santa Elena core,8.56,-82.56,1100,north,sedlac,86,RPD_orig,170
785,Laguna Pompal core,18.37,-94.95,700,north,sedlac,115,RPD_orig,154
791,Lower Gaylor Lake core,37.90938,-119.286309,3062,north,sedlac,41,RPD_orig,227
792,Barrett Lake core,37.588994,-118.996235,2816,north,sedlac,41,RPD_orig,227
800,Crevice Lake freeze core,45,-110.578,1713,north,sedlac,1,RPD_orig,227
801,Graham Lake core,45.1833,-77.35,381,north,sedlac,49,RPD_orig,36
802,High Lake core,44.5167,-76.6,192,north,sedlac,51,RPD_orig,36
816,Cantarrana core,10.43,-84,36,north,sedswamp,153,RPD_orig,48
822,Three Creeks core,44.09,-121.62,1996,north,sedlac,154,RPD_orig,227
823,Todd Lake core,44.02,-121.68,1875,north,sedlac,154,RPD_orig,227
824,Tumalo Lake core,44.02,-121.54,1536,north,sedlac,154,RPD_orig,227
825,Butler Lake core,43.662484,-88.134088,316,north,sedlac,10,RPD_orig,227
826,Seven Lake core,43.613705,-88.143562,307,north,sedlac,10,RPD_orig,227
827,Laguna Bonillita core,9.99,-83.61,450,north,sedlac,153,RPD_orig,48
835,Pie de Gigante core 1,11.38,-86.03,NA,north,unspec,155,RPD_orig,162
836,Laguna Herradura core,22.01,-98.15,NA,north,unspec,156,RPD_orig,154
839,Campbell Lake CA core,41.532802,-123.105499,1750,north,sedlac,2,RPD_orig,227
840,Sanger Lake CA core,41.901658,-123.648973,1547,north,sedlac,2,RPD_orig,227
841,Taylor Lake CA core,41.36144,-122.968648,1979,north,sedlac,2,RPD_orig,227
842,USL core,42.03,-123.01,930,north,sedlac,2,RPD_orig,227
845,Wildcat Lake core,37.96,-122.78,67,north,sedlac,36,RPD_orig,227
846,Glenmire core 3,37.99,-122.77,399,north,sedswamp,36,RPD_orig,227
848,Salvador core,18.795786,-70.886979,990,north,sedlac,158,RPD_orig,58
849,Castilla core,18.7978,-70.8761,976,north,sedlac,158,RPD_orig,58
850,Lake Oswego core,45.41,-122.66,30,north,sedlac,154,RPD_orig,227
851,Porter Lake core,44.44,-123.24,73,north,sedlac,159,RPD_orig,227
852,Warner Lake core,44.24,-122.95,590,north,sedlac,154,RPD_orig,227
856,Five Lakes core,48.08,-118.92,780,north,sedlac,160,RPD_orig,227
937,Mt Constitution C38 core,48.67642,-122.838074,735,north,unspec,47,RPD_orig,227
960,Spring Lake core,48.57777778,-80.88072222,262,north,sedlac,31,RPD_orig,36
984,Anderson Pond core,36.028494901294,-85.5051163141084,300,north,unspec,171,RPD_orig,227
998,Lac a Jean-Marie Boulay core,48.9698,-64.4861,276,north,sedlac,48,RPD_orig,36
999,Lac Bride core,47.315461,-74.49705,425,north,sedlac,49,RPD_orig,36
1332,Air-1,53.6535,-77.729,175,north,sedswamp,92,RPD_orig,36
1333,Air-2,53.6536,-77.7263,175,north,sedswamp,92,RPD_orig,36
1335,Avril Lake Core,49.36874,-89.41847,472,north,sedlac,73,RPD_orig,36
1338,Beaver Lake Core,49.53435,-90.40019,468,north,sedlac,73,RPD_orig,36
1339,Ben Lake Core,49.35695,-89.76956,480,north,sedlac,73,RPD_orig,36
1344,Crater Lake core,62.1,-146.238,806,north,sedlac,179,RPD_orig,227
1346,Dom Lake Core,49.43966,-89.63204,470,north,sedlac,73,RPD_orig,36
1352,Folly Core,45.45826,-75.77775,133,north,sedswamp,49,RPD_orig,36
1360,Jones Lake Core,49.446389,-99.291111,409,north,sedlac,91,RPD_orig,36
1361,JPH4,57.112222,-111.423333,336,north,sedswamp,180,RPD_orig,36
1364,LLC-L1,52.292611,-75.8305,248,north,sedswamp,92,RPD_orig,36
1365,LLC-L4,52.294525,-75.840805,254,north,sedswamp,92,RPD_orig,36
1366,Lac Christelle Core,49.73214,-84.25453,291,north,sedlac,31,RPD_orig,36
1367,Lac du Berger Core,49.41851,-90.47587,479,north,sedlac,73,RPD_orig,36
1368,"Lac du Loup, Quebec core",53.05503,-77.40053,206,north,sedlac,92,RPD_orig,36
1369,Lac Garot Core,51.09964,-77.55358,248,north,sedlac,31,RPD_orig,36
1370,Lac Huard Core,50.16414,-86.8265,343,north,sedlac,73,RPD_orig,36
1371,Lac Marie-Eve Core,52.06169,-75.51667,296,north,sedlac,31,RPD_orig,36
1372,Lac Nano Core,53.02375,-77.36425,206,north,sedlac,92,RPD_orig,36
1373,Lac Schon Core,50.59492,-77.56836,291,north,sedlac,31,RPD_orig,36
1374,Lac Trefle Core,51.85014,-76.04514,270,north,sedlac,31,RPD_orig,36
1377,Lebel core,49.0983,-68.2216,22,north,sedswamp,50,RPD_orig,36
1383,McK,57.228333,-111.7,302,north,sedswamp,180,RPD_orig,36
1384,McM,56.627778,-111.194167,387,north,sedswamp,180,RPD_orig,36
1386,M-L1,52.7253,-72.2121,475,north,sedswamp,92,RPD_orig,36
1387,M-C2,52.7248,-72.2128,474,north,sedswamp,92,RPD_orig,36
1388,M-L2,52.7234,-72.2155,474,north,sedswamp,92,RPD_orig,36
1389,Morts core,50.2633,-63.6683,14,north,sedswamp,50,RPD_orig,36
1390,MOS-L1,51.985694,-75.38544,300,north,sedswamp,31,RPD_orig,36
1391,MOS-L4,51.984608,-75.41844,302,north,sedswamp,31,RPD_orig,36
1393,Ours-1,54.04978,-72.45406,458,north,sedswamp,92,RPD_orig,36
1394,Ours-4,54.048805,-72.45599,459,north,sedswamp,92,RPD_orig,36
1396,Plaine core,50.275,-63.5383,34,north,sedswamp,50,RPD_orig,36
1398,Rad,53.7244,-77.7031,174,north,sedswamp,92,RPD_orig,36
1399,Romaine core,50.2947,-63.7157,24,north,sedswamp,50,RPD_orig,36
1402,Small Lake Core SML,49.581111,-90.385556,478,north,sedlac,73,RPD_orig,36
