Year,THW,WD,DIV,PIG,Gomez,JRIBAS,B40,NORUS_8_7,NORUS_7_2,B53,NORUS_7_5,NORUS_7_7,Aurora_Basin,W10,Illimani,D4,Summit2010,NEEM-2011-S1,Tunu2013,ACT11d,ACT2,NGT-B19,Humboldt,Flade-Isblink,Hans-Tausen,NasaU,Akademii-Nauk,Colle_Gnifetti,Upper-Fremont-Glacier,McCall-Glacier,Eclipse
1799,-999.0,22.1,73.2,-999.0,-999.0,89.2,12.9,8.6,5.0,4.4,7.1,4.2,20.9,25.8,293.8,1898.8,871.3,291.0,247.8,541.4,450.5,149.8,149.0,1032.0,108.5,848.3,3108.4,972.0,162.6,-999.0,1429.1
1800,-999.0,17.9,116.2,-999.0,-999.0,75.9,18.0,17.5,7.3,3.7,13.0,4.6,22.7,34.8,233.2,1195.3,455.3,870.1,158.0,345.0,1088.2,163.9,267.0,735.0,85.2,358.7,1251.0,963.0,135.5,-999.0,1083.4
1801,-999.0,23.8,106.8,-999.0,-999.0,32.6,17.8,48.7,10.8,4.4,12.3,4.2,30.6,31.9,462.5,324.4,239.3,360.7,257.8,355.7,754.7,199.3,351.1,513.4,91.8,499.8,843.2,274.5,192.2,-999.0,2287.2
1802,-999.0,34.4,83.3,-999.0,-999.0,24.2,29.5,8.1,14.8,3.1,7.1,3.9,27.9,48.9,176.3,592.9,259.9,530.6,169.5,203.3,120.0,86.3,289.2,780.2,117.3,460.8,3051.4,814.5,304.6,-999.0,2121.2
1803,-999.0,24.0,69.0,-999.0,-999.0,37.4,23.4,3.5,12.2,3.3,13.5,5.0,6.7,18.2,334.5,698.5,392.5,437.5,57.6,294.9,230.6,83.0,151.6,742.5,259.4,713.5,363.9,1156.5,187.7,-999.0,2306.9
1804,-999.0,11.1,58.8,-999.0,-999.0,72.9,17.6,17.0,20.1,2.9,15.7,3.9,12.9,37.5,280.3,578.4,227.6,562.2,78.0,205.3,283.8,136.7,650.8,407.9,192.1,1030.0,943.2,1305.0,210.0,-999.0,4931.3
1805,-999.0,14.9,44.4,-999.0,-999.0,47.4,15.8,17.6,20.1,3.7,15.6,6.3,19.3,38.3,260.0,508.9,264.3,252.4,546.9,419.9,1456.8,121.1,211.0,762.5,226.5,301.5,851.1,481.5,115.2,-999.0,4380.5
1806,-999.0,21.6,59.6,-999.0,-999.0,197.2,22.8,9.5,12.3,4.6,23.3,7.8,9.5,25.8,374.6,474.3,292.0,476.3,183.8,409.0,130.7,123.0,204.6,818.8,416.9,416.2,1027.9,1098.0,99.6,-999.0,1914.5
1807,-999.0,17.9,94.8,-999.0,-999.0,30.8,23.0,3.8,15.3,2.8,26.7,5.1,12.8,19.3,386.9,1574.2,873.0,763.4,160.0,2892.8,1710.5,362.7,497.8,1210.6,177.1,72.7,975.3,1530.0,309.7,-999.0,3051.7
1808,-999.0,24.5,86.9,-999.0,-999.0,186.4,31.8,6.1,14.3,4.0,12.6,5.2,14.9,49.1,227.8,1101.9,425.9,419.9,186.8,554.7,425.7,143.0,138.0,1402.9,163.9,-999.0,920.1,1395.0,743.4,-999.0,1867.8
